,Sexo,Edad,Casado,Numero Dependientes,Recomendaciones realizadas,Meses como Cliente,Plan,Cargo Mensual LLamadas,Multiples lineas,Servicio Internet,GB mensuales consumidos,Servicio Adicional Antivirus,Servicio Respaldo en la Nube,Seguro Proteccion Equipo,Servicio Soporte Premium,Usa Streaming TV,Usa Streaming Peliculas,Usa Streaming Musica,Plan Ilimitado Datos,Tipo Contrato,Cobro Mensual,Historico de Devoluciones ,Historico Cargos extra datos,Historico Cargos Llamadas,Historico Cobro Acumulado   ,Fugado,Causa Fuga
6110,Hombre,27,No,0,0,4,Plan E,,,Si,72,No,No,Si,No,No,No,Si,Si,Mensual,15418,0,0,0,61620,Si,Disconforme
6111,Mujer,68,No,0,0,60,Ninguno,17882.8,Si,Si,25.5,No,No,Si,Si,Si,Si,No,No,Anual,55120,0,57200,1072968,4479696,Si,Por Precio
6112,Mujer,30,No,3,0,16,Plan D,14159.6,Si,Si,103.5,No,No,No,Si,No,No,No,Si,Anual,41340,0,0,226553.6,883937.6,No,
6114,Mujer,68,No,0,0,64,Ninguno,14404,Si,Si,31.5,No,Si,Si,Si,No,Si,No,Si,Otro mas largo,38818,24460.8,0,921856,3429457.2,No,
6115,Mujer,25,Si,2,4,71,Plan A,16723.2,Si,Si,88.5,Si,No,Si,Si,No,Si,Si,Si,Otro mas largo,52234,8382.4,0,1187347.2,4902008.8,No,
6117,Mujer,38,Si,0,1,72,Plan A,2730,Si,Si,42,Si,No,Si,Si,Si,Si,Si,Si,Otro mas largo,43888,0,0,196560,3366714,No,
6118,Mujer,54,No,0,0,26,Plan C,13208,Si,Si,15,Si,Si,No,No,Si,No,No,Si,Mensual,36140,0,0,343408,1279434,No,
6119,Hombre,27,Si,0,1,1,Ninguno,,,Si,87,No,Si,No,No,No,No,No,Si,Mensual,15704,0,0,0,15704,Si,Mejor la Competencia
6120,Hombre,42,No,0,0,52,Ninguno,24908,No,Si,4.5,Si,No,Si,No,No,No,No,Si,Anual,27950,22422.4,0,1295216,2723931.6,No,
6121,Hombre,33,No,0,0,72,Plan A,1331.2,Si,Si,37.5,Si,Si,Si,Si,Si,Si,Si,Si,Otro mas largo,58968,0,0,95846.4,4341178.4,No,
6122,Mujer,23,Si,2,7,36,Ninguno,21080.8,Si,Si,88.5,Si,Si,Si,Si,Si,Si,Si,Si,Otro mas largo,48308,0,0,758908.8,2516118.8,No,
6123,Mujer,50,Si,0,3,46,Plan B,,,Si,45,Si,Si,No,No,Si,No,No,Si,Mensual,23686,0,0,0,1072318,No,
6124,Hombre,48,No,0,0,51,Ninguno,19026.8,No,Si,30,No,No,No,Si,No,No,No,Si,Anual,24882,9562.8,0,970366.8,2186314,No,
6125,Hombre,52,No,0,0,4,Ninguno,,,Si,33,No,No,No,Si,No,No,No,Si,Mensual,15860,0,0,0,61568,No,
6126,Hombre,27,No,0,0,3,Ninguno,17934.8,Si,Si,78,No,No,No,No,No,No,Si,Si,Mensual,39000,0,0,53804.4,162536.4,Si,Disconforme
6127,Mujer,42,No,0,0,56,Plan B,1300,Si,Si,4.5,No,Si,No,Si,Si,Si,Si,Si,Mensual,54834,0,0,72800,3149614,No,
6128,Mujer,75,No,0,0,16,Ninguno,19151.6,No,Si,24,No,No,No,Si,Si,No,No,Si,Mensual,30888,0,0,306425.6,838853.6,Si,Por Precio
6129,Hombre,30,Si,0,7,44,Ninguno,12350,No,Si,79.5,No,No,No,No,Si,Si,Si,Si,Anual,47138,0,0,543400,2609958,No,
6130,Hombre,35,No,0,0,29,Plan C,4160,No,Si,13.5,Si,Si,No,Si,No,No,No,No,Anual,30550,0,26000,120640,1028664,No,
6131,Hombre,20,Si,1,5,29,Ninguno,12812.8,No,No,,,,,,,,,,Mensual,10738,0,0,371571.2,712093.2,No,
6132,Mujer,79,No,0,0,22,Ninguno,2646.8,Si,Si,34.5,No,No,No,No,No,No,No,No,Mensual,38688,0,0,58229.6,938381.6,Si,Mejor la Competencia
6134,Hombre,26,Si,2,5,29,Plan C,19084,Si,Si,103.5,Si,No,No,Si,Si,No,No,No,Anual,35906,0,20800,553436,1592630,No,
6135,Mujer,49,Si,1,10,68,Ninguno,22625.2,Si,Si,33,Si,Si,Si,Si,Si,Si,Si,No,Otro mas largo,45760,0,20800,1538513.6,4763501.6,No,
6136,Hombre,66,Si,0,1,34,Ninguno,1076.4,Si,Si,24,No,No,No,No,No,No,No,Si,Mensual,39286,0,0,36597.6,1297805.6,No,
6138,Mujer,78,No,0,0,37,Plan C,14014,Si,Si,25.5,No,No,No,No,No,No,No,Si,Mensual,39650,0,0,518518,1996124,Si,Otra
6139,Hombre,72,Si,0,1,7,Ninguno,4638.4,Si,Si,25.5,No,No,No,No,No,No,No,Si,Mensual,38688,16879.2,0,32468.8,290097.6,Si,Servicio Cliente
6140,Hombre,36,No,0,0,51,Ninguno,24663.6,No,No,,,,,,,,,,Otro mas largo,10634,0,0,1257843.6,1800021.6,No,
6141,Hombre,58,No,0,0,52,Ninguno,3078.4,No,Si,34.5,No,No,Si,No,No,Si,Si,No,Mensual,43576,0,36400,160076.8,2448804.8,No,
6143,Hombre,29,No,0,0,21,Plan D,,,Si,39,Si,No,No,Si,Si,No,No,Si,Mensual,22646,0,0,0,525980,No,
6144,Mujer,26,Si,3,4,70,Ninguno,2865.2,Si,Si,127.5,No,Si,Si,Si,Si,Si,Si,No,Otro mas largo,57304,0,78000,200564,4277260,No,
6145,Mujer,67,Si,0,6,69,Ninguno,17966,No,Si,28.5,Si,Si,No,No,No,Si,No,Si,Anual,45396,0,0,1239654,4388540,No,
6146,Mujer,25,Si,0,1,42,Ninguno,3556.8,Si,Si,40.5,No,No,No,No,Si,Si,Si,Si,Mensual,48984,0,0,149385.6,2326261.6,Si,Mejor la Competencia
6147,Mujer,44,No,0,0,33,Ninguno,8616.4,Si,Si,45,No,Si,No,No,Si,Si,Si,Si,Mensual,52000,0,0,284341.2,2011053.2,No,
6149,Hombre,50,Si,1,2,59,Ninguno,21418.8,No,No,,,,,,,,,,Otro mas largo,10322,0,0,1263709.2,1881599.2,No,
6151,Mujer,24,No,0,0,4,Plan E,10316.8,No,Si,109.5,No,No,Si,No,No,Si,Si,Si,Mensual,43082,0,0,41267.2,207459.2,No,
6152,Mujer,39,Si,0,1,31,Ninguno,20108.4,Si,Si,19.5,No,Si,No,No,No,Si,Si,No,Mensual,47398,0,0,623360.4,2180994.4,Si,Disconforme
6153,Mujer,63,Si,0,6,61,Plan B,9375.6,Si,Si,33,No,No,Si,Si,Si,Si,Si,Si,Anual,53716,0,0,571911.6,3961453.6,No,
6154,Hombre,32,No,0,0,42,Ninguno,25173.2,No,No,,,,,,,,,,Anual,10166,6323.2,0,1057274.4,1487439.2,No,
6155,Mujer,46,No,0,0,13,Ninguno,,,Si,24,No,Si,No,No,No,No,No,Si,Mensual,16146,0,0,0,180570,Si,Otra
6157,Hombre,25,No,0,0,5,Ninguno,,,Si,88.5,Si,No,Si,Si,No,No,Si,Si,Mensual,20800,0,0,0,116194,Si,Mejor la Competencia
6158,Mujer,21,Si,3,10,71,Plan A,25355.2,No,Si,106.5,Si,No,Si,No,Si,Si,Si,Si,Otro mas largo,40326,0,0,1800219.2,4698881.2,No,
6159,Hombre,26,No,0,0,27,Ninguno,18189.6,No,Si,39,No,No,No,No,No,No,No,Si,Mensual,35906,11814.4,0,491119.2,1411794.8,No,
6160,Hombre,60,Si,2,8,57,Ninguno,15412.8,No,No,,,,,,,,,,Otro mas largo,10790,0,0,878529.6,1462567.6,No,
6161,Hombre,51,No,0,0,37,Ninguno,,,Si,37.5,No,No,No,No,Si,No,No,No,Otro mas largo,18616,0,52000,0,736788,No,
6162,Hombre,45,No,0,0,41,Plan B,561.6,No,Si,9,No,No,No,Si,No,No,No,Si,Mensual,38610,0,0,23025.6,1629357.6,No,
6163,Mujer,26,Si,0,7,26,Ninguno,5839.6,No,Si,72,No,Si,Si,Si,Si,Si,Si,Si,Mensual,42588,23327.2,0,151829.6,1209348.4,No,
6164,Mujer,20,Si,2,0,10,Plan D,3380,Si,Si,114,No,No,No,No,No,Si,Si,Si,Mensual,44694,0,0,33800,480272,No,
6165,Hombre,21,Si,1,6,31,Ninguno,15948.4,Si,Si,88.5,No,No,No,No,No,Si,Si,Si,Mensual,31044,0,0,494400.4,1443660.4,No,
6166,Hombre,34,Si,0,9,10,Plan D,11362,No,Si,13.5,Si,No,No,Si,No,No,No,Si,Mensual,28574,0,0,113620,409422,No,
6167,Hombre,27,Si,0,6,14,Ninguno,2106,No,Si,88.5,No,No,Si,No,No,No,No,Si,Mensual,26104,0,0,29484,377286,No,
6168,Hombre,34,No,2,0,9,Plan E,23831.6,No,No,,,,,,,,,,Mensual,10608,0,0,214484.4,310216.4,No,
6169,Mujer,65,Si,0,5,72,Plan A,4513.6,Si,No,,,,,,,,,,Otro mas largo,12636,0,0,324979.2,1249903.2,No,
6170,Mujer,55,No,0,0,42,Ninguno,20446.4,No,Si,30,Si,Si,No,Si,No,Si,Si,Si,Anual,35204,0,0,858748.8,2357518.8,No,
6172,Hombre,69,No,0,0,25,Ninguno,9599.2,Si,Si,4.5,No,Si,No,No,Si,No,No,Si,Mensual,46540,0,0,239980,1381978,Si,Mejor la Competencia
6173,Mujer,29,No,0,0,5,Ninguno,25214.8,Si,Si,127.5,No,No,No,No,Si,No,No,Si,Mensual,43680,0,0,126074,346944,No,
6174,Hombre,62,No,0,0,1,Plan E,12459.2,No,Si,33,No,No,No,No,Si,No,No,Si,Mensual,41054,0,0,12459.2,53513.2,Si,Mejor la Competencia
6175,Hombre,30,No,0,0,5,Ninguno,,,Si,88.5,Si,Si,Si,Si,No,No,No,Si,Mensual,22490,0,0,0,113880,Si,Disconforme
6176,Mujer,27,Si,2,9,46,Ninguno,,,Si,78,Si,Si,No,No,No,No,Si,Si,Mensual,18226,0,0,0,842530,No,
6177,Mujer,44,No,0,0,57,Ninguno,,,Si,36,Si,No,Si,Si,No,No,No,Si,Anual,21372,0,0,0,1174290,No,
6178,Hombre,79,No,0,0,21,Ninguno,12079.6,No,No,,,,,,,,,,Anual,10660,0,0,253671.6,477037.6,No,
6179,Hombre,64,No,0,0,4,Plan E,1918.8,Si,No,,,,,,,,,,Mensual,13130,0,0,7675.2,60663.2,No,
6180,Mujer,29,Si,0,7,65,Plan B,25303.2,No,No,,,,,,,,,,Otro mas largo,10062,0,0,1644708,2331082,No,
6181,Hombre,49,Si,3,2,19,Plan D,16884.4,No,No,,,,,,,,,,Anual,10348,0,0,320803.6,506807.6,No,
6183,Hombre,80,Si,0,1,51,Plan B,11512.8,Si,Si,45,Si,No,Si,No,Si,No,No,Si,Mensual,48776,0,0,587152.8,3057646.8,Si,Disconforme
6184,Hombre,38,Si,0,1,72,Ninguno,7134.4,Si,No,,,,,,,,,,Otro mas largo,12896,8455.2,0,513676.8,1479857.6,No,
6185,Mujer,38,Si,2,1,70,Plan A,25188.8,No,No,,,,,,,,,,Otro mas largo,10296,0,0,1763216,2480166,No,
6186,Mujer,56,Si,0,7,28,Ninguno,17206.8,No,Si,28.5,No,Si,Si,No,No,Si,Si,Si,Mensual,46748,0,0,481790.4,1747210.4,No,
6187,Hombre,70,Si,0,7,71,Ninguno,19032,Si,Si,15,Si,Si,Si,Si,No,No,No,Si,Anual,47840,0,0,1351272,4775576,No,
6188,Hombre,28,Si,0,1,5,Ninguno,2704,No,No,,,,,,,,,,Anual,10452,0,0,13520,57772,No,
6189,Mujer,61,No,0,0,4,Ninguno,14336.4,No,Si,40.5,No,No,No,No,Si,No,No,Si,Mensual,41080,0,0,57345.6,214983.6,Si,Disconforme
6190,Hombre,73,Si,0,5,69,Ninguno,25953.2,Si,Si,19.5,No,Si,Si,No,No,Si,Si,Si,Otro mas largo,49582,0,0,1790770.8,5109410.8,No,
6191,Mujer,33,Si,3,5,57,Plan B,21912.8,No,No,,,,,,,,,,Otro mas largo,10140,10342.8,0,1249029.6,1845838.8,No,
6192,Mujer,53,No,0,0,68,Ninguno,,,Si,19.5,No,Si,No,Si,No,Si,Si,Si,Mensual,23374,0,0,0,1604382,No,
6194,Mujer,80,Si,1,7,71,Ninguno,25266.8,Si,Si,22.5,Si,Si,No,No,Si,No,No,Si,Anual,35984,0,0,1793942.8,4384842.8,No,
6195,Hombre,41,No,0,0,44,Ninguno,22318.4,No,Si,34.5,No,Si,No,Si,Si,Si,Si,Si,Mensual,52286,0,0,982009.6,3269047.6,Si,Disconforme
6196,Mujer,37,Si,0,10,27,Ninguno,10899.2,No,No,,,,,,,,,,Anual,10686,0,0,294278.4,597594.4,No,
6197,Hombre,21,Si,0,6,71,Plan A,14570.4,No,Si,40.5,No,Si,Si,Si,Si,Si,Si,Si,Otro mas largo,41132,0,0,1034498.4,3928220.4,No,
6198,Mujer,44,Si,0,2,63,Plan B,743.6,Si,Si,24,Si,No,No,No,Si,Si,Si,Si,Anual,51818,0,0,46846.8,3328670.8,No,
6199,Mujer,20,No,0,0,17,Ninguno,21086,No,Si,61.5,No,No,No,No,Si,Si,Si,Si,Mensual,33644,0,0,358462,926874,Si,Mejor la Competencia
6200,Hombre,40,Si,0,8,72,Ninguno,2158,Si,No,,,,,,,,,,Otro mas largo,13208,0,0,155376,1089868,No,
6201,Mujer,40,No,0,0,9,Ninguno,21798.4,No,Si,43.5,No,No,No,No,No,No,No,Si,Mensual,22984,0,0,196185.6,405927.6,Si,Mejor la Competencia
6203,Mujer,77,Si,0,1,1,Plan E,6770.4,Si,Si,45,No,Si,No,No,Si,No,No,Si,Mensual,47112,0,0,6770.4,53882.4,Si,Otra
6204,Mujer,65,Si,0,10,65,Plan B,18974.8,No,Si,13.5,No,Si,Si,Si,Si,Si,Si,Si,Otro mas largo,55042,0,0,1233362,4730622,No,
6205,Mujer,36,Si,0,0,52,Plan B,2194.4,No,Si,27,Si,No,Si,No,Si,No,No,Si,Anual,33436,0,0,114108.8,1887620.8,No,
6206,Mujer,28,No,0,0,9,Ninguno,6786,No,Si,109.5,Si,No,No,No,No,No,No,Si,Mensual,38922,0,0,61074,429338,No,
6207,Hombre,78,No,0,0,1,Ninguno,,,Si,12,No,No,Si,No,No,Si,No,No,Mensual,20618,0,10400,0,31018,Si,Mejor la Competencia
6208,Hombre,38,Si,1,10,21,Ninguno,9360,No,No,,,,,,,,,,Anual,10296,0,0,196560,378612,No,
6209,Hombre,23,Si,2,5,63,Ninguno,15038.4,Si,No,,,,,,,,,,Otro mas largo,12818,0,0,947419.2,1766159.2,No,
6210,Mujer,53,No,0,0,6,Ninguno,598,Si,Si,4.5,No,Si,No,No,Si,No,No,Si,Mensual,46852,0,0,3588,274664,Si,Mejor la Competencia
6211,Mujer,42,No,0,0,25,Plan C,3120,No,No,,,,,,,,,,Mensual,9984,0,0,78000,354692,No,
6212,Mujer,64,No,0,0,66,Plan A,,,Si,43.5,Si,Si,Si,Si,No,No,No,No,Otro mas largo,24648,0,0,0,1652170,No,
6213,Hombre,50,No,0,0,44,Ninguno,23358.4,Si,Si,24,No,No,Si,No,No,Si,Si,Si,Mensual,47008,0,0,1027769.6,3140529.6,No,
6214,Hombre,62,No,0,0,60,Ninguno,18267.6,No,Si,4.5,Si,No,Si,Si,Si,Si,Si,Si,Anual,41080,0,0,1096056,3592628,No,
6215,Mujer,34,No,0,0,18,Ninguno,18974.8,Si,Si,4.5,No,No,No,Si,Si,Si,Si,Si,Mensual,51922,0,0,341546.4,1265560.4,Si,Disconforme
6216,Mujer,22,Si,0,9,60,Ninguno,17929.6,Si,Si,76.5,No,Si,No,No,Si,Si,Si,Si,Mensual,51896,0,0,1075776,4188366,No,
6217,Hombre,42,No,0,0,11,Ninguno,16073.2,Si,No,,,,,,,,,,Mensual,12038,0,0,176805.2,304309.2,Si,Mejor la Competencia
6218,Hombre,46,No,0,0,59,Ninguno,5044,No,Si,9,No,No,Si,No,No,Si,Si,Si,Anual,31902,0,0,297596,2193256,No,
6219,Hombre,58,No,0,0,12,Ninguno,23285.6,No,Si,18,No,Si,No,No,No,No,No,Si,Mensual,25506,15246.4,0,279427.2,572566.8,No,
6220,Mujer,23,Si,0,1,8,Plan E,12313.6,No,Si,61.5,Si,No,No,Si,No,Si,Si,Si,Otro mas largo,34060,0,0,98508.8,391970.8,No,
6221,Mujer,35,No,0,0,28,Plan C,,,Si,21,No,No,Si,No,No,No,No,Si,Mensual,15470,0,0,0,411164,No,
6222,Mujer,56,No,1,0,12,Ninguno,9282,Si,Si,28.5,No,No,No,No,Si,No,No,Si,Mensual,43706,0,0,111384,613990,No,
6223,Mujer,62,Si,2,9,30,Ninguno,12771.2,Si,Si,27,No,Si,Si,Si,Si,Si,Si,Si,Mensual,55900,0,0,383136,2069236,No,
6224,Hombre,65,No,0,0,12,Plan D,14887.6,No,Si,10.5,No,Si,Si,Si,No,No,No,No,Mensual,43576,23181.6,41600,178651.2,732539.6,Si,Mejor la Competencia
6226,Hombre,25,No,0,0,3,Plan E,11840.4,No,Si,76.5,No,No,No,No,Si,No,Si,Si,Mensual,28678,0,0,35521.2,118279.2,Si,Disconforme
6227,Mujer,59,No,0,0,41,Plan B,,,Si,31.5,No,Si,No,No,No,Si,Si,Si,Mensual,20982,0,0,0,872482,No,
6228,Mujer,36,Si,3,1,55,Plan B,748.8,Si,No,,,,,,,,,,Otro mas largo,13338,0,0,41184,762944,No,
6229,Hombre,66,No,0,0,8,Ninguno,2610.4,Si,Si,39,No,No,Si,No,No,No,No,Si,Mensual,42250,0,0,20883.2,325577.2,Si,Por Precio
6230,Hombre,47,Si,0,1,72,Ninguno,1596.4,Si,Si,34.5,No,Si,Si,No,Si,Si,Si,Si,Otro mas largo,53768,0,0,114940.8,3948718.8,Si,Por Precio
6231,Hombre,62,Si,0,5,72,Plan A,22796.8,Si,Si,22.5,Si,Si,No,Si,No,Si,Si,Si,Otro mas largo,52286,0,0,1641369.6,5450421.6,No,
6232,Mujer,53,Si,3,0,30,Plan C,25183.6,No,Si,87,No,No,Si,No,No,Si,Si,Si,Anual,44954,0,0,755508,2075294,No,
6233,Hombre,61,Si,4,8,25,Plan C,10171.2,Si,No,,,,,,,,,,Mensual,-4160,0,0,254280,538642,No,
6234,Mujer,36,No,0,0,1,Ninguno,3088.8,Si,Si,12,No,No,No,No,No,No,No,Si,Mensual,39052,0,0,3088.8,42140.8,Si,Disconforme
6235,Mujer,65,No,0,0,46,Plan B,21408.4,Si,Si,45,No,Si,Si,No,Si,Si,Si,Si,Otro mas largo,54314,19125.6,0,984786.4,3494862.8,No,
6236,Hombre,39,Si,0,1,32,Plan C,17456.4,Si,Si,39,Si,No,No,No,Si,Si,Si,No,Mensual,-4160,18626.4,57200,558604.8,2263596.4,Si,Mejor la Competencia
6237,Hombre,43,No,0,0,31,Ninguno,19276.4,Si,Si,34.5,No,Si,No,No,No,No,No,Si,Mensual,41834,0,0,597568.4,1860700.4,No,
6238,Hombre,42,Si,0,7,68,Plan A,,,Si,24,Si,No,Si,No,Si,Si,Si,Si,Otro mas largo,28132,0,0,0,1973140,No,
6239,Mujer,51,Si,0,6,58,Ninguno,19318,Si,Si,10.5,Si,Si,No,Si,Si,Si,Si,Si,Otro mas largo,56732,0,0,1120444,4445142,No,
6240,Mujer,52,Si,2,1,70,Plan A,,,Si,28.5,No,Si,Si,Si,Si,Si,Si,Si,Anual,30368,16915.6,0,0,2121922.4,No,
6241,Mujer,53,Si,0,1,1,Ninguno,20690.8,No,Si,10.5,No,No,No,No,Si,No,No,Si,Mensual,41626,0,0,20690.8,62316.8,Si,Mejor la Competencia
6242,Mujer,30,No,0,0,48,Ninguno,23665.2,Si,Si,40.5,Si,Si,Si,No,Si,Si,Si,Si,Anual,43394,0,0,1135929.6,3157611.6,No,
6243,Mujer,24,Si,0,5,72,Plan A,21429.2,Si,Si,109.5,Si,Si,Si,No,Si,Si,Si,Si,Otro mas largo,57538,0,0,1542902.4,5737040.4,No,
6244,Hombre,21,Si,0,1,3,Plan E,15230.8,No,Si,78,No,Si,Si,No,No,No,Si,Si,Mensual,29198,0,0,45692.4,133130.4,Si,Mejor la Competencia
6245,Mujer,28,Si,0,1,2,Plan E,5075.2,No,Si,40.5,No,No,No,No,No,No,No,Si,Mensual,36764,0,0,10150.4,83704.4,Si,Mejor la Competencia
6246,Mujer,35,No,0,0,8,Ninguno,16801.2,No,Si,9,Si,No,No,No,Si,No,No,Si,Mensual,44174,0,0,134409.6,481977.6,Si,Otra
6247,Mujer,25,No,0,0,63,Ninguno,8616.4,No,No,,,,,,,,,,Otro mas largo,10712,0,0,542833.2,1218157.2,No,
6248,Mujer,65,Si,0,1,35,Ninguno,8309.6,Si,Si,33,Si,Si,No,Si,Si,No,No,Si,Mensual,52260,0,0,290836,2190578,Si,Servicio Cliente
6249,Hombre,54,Si,0,4,13,Plan D,23712,No,Si,16.5,No,No,Si,No,Si,Si,Si,Si,Mensual,50258,0,0,308256,912938,Si,Mejor la Competencia
6250,Mujer,56,Si,1,4,30,Plan C,19104.8,No,Si,27,No,No,Si,Si,Si,No,No,Si,Anual,33540,0,0,573144,1605422,No,
6251,Hombre,34,Si,0,10,60,Plan B,,,Si,3,No,Si,Si,Si,Si,Si,Si,Si,Mensual,31304,0,0,0,1862848,No,
6252,Hombre,55,Si,0,1,33,Plan C,13936,No,Si,25.5,No,No,No,No,Si,Si,Si,No,Mensual,47450,0,67600,459888,2068794,No,
6253,Mujer,59,Si,0,2,54,Ninguno,4591.6,Si,Si,31.5,Si,Si,No,No,Si,Si,Si,Si,Anual,55406,0,0,247946.4,3244862.4,Si,Disconforme
6254,Mujer,53,Si,2,7,67,Ninguno,1716,Si,Si,28.5,Si,No,Si,Si,Si,Si,Si,Si,Anual,56888,19936.8,0,114972,3881467.2,No,
6255,Mujer,25,Si,0,10,25,Ninguno,1216.8,No,Si,109.5,Si,Si,No,Si,No,Si,Si,Si,Mensual,36946,14601.6,0,30420,971422.4,No,
6256,Mujer,42,No,0,0,72,Ninguno,12578.8,Si,Si,19.5,No,Si,Si,Si,Si,Si,Si,Si,Otro mas largo,58032,0,0,905673.6,5072303.6,No,
6257,Hombre,58,No,0,0,18,Ninguno,20212.4,Si,Si,10.5,No,Si,No,No,No,No,No,No,Mensual,41938,0,15600,363823.2,1134411.2,Si,Mejor la Competencia
6258,Hombre,57,Si,0,9,63,Plan B,9037.6,No,No,,,,,,,,,,Otro mas largo,10010,0,0,569368.8,1212946.8,No,
6259,Hombre,39,Si,0,7,39,Ninguno,15371.2,Si,No,,,,,,,,,,Otro mas largo,12376,0,0,599476.8,1069452.8,No,
6260,Hombre,21,No,0,0,33,Ninguno,7529.6,No,No,,,,,,,,,,Otro mas largo,10582,0,0,248476.8,607146.8,No,
6261,Hombre,43,No,0,0,48,Plan B,5730.4,No,No,,,,,,,,,,Anual,10374,0,0,275059.2,797399.2,No,
6262,Mujer,57,No,0,0,10,Ninguno,9178,Si,Si,30,No,No,No,No,No,Si,Si,Si,Mensual,44954,0,0,91780,523822,Si,Mejor la Competencia
6263,Hombre,53,Si,0,6,10,Plan D,13608.4,No,Si,10.5,No,Si,No,No,No,No,No,Si,Anual,25766,0,0,136084,383448,No,
6264,Hombre,49,Si,0,8,45,Ninguno,11856,Si,Si,22.5,Si,No,Si,No,No,No,No,Si,Mensual,43966,0,0,533520,2464774,No,
6265,Hombre,33,No,0,0,28,Plan C,15849.6,Si,Si,19.5,No,Si,Si,No,Si,Si,Si,No,Mensual,54964,0,41600,443788.8,2034728.8,Si,Disconforme
6266,Mujer,51,No,0,0,64,Ninguno,23041.2,Si,Si,6,Si,Si,Si,Si,Si,Si,Si,Si,Otro mas largo,59852,0,0,1474636.8,5288342.8,No,
6267,Mujer,51,No,0,0,48,Ninguno,17633.2,No,Si,19.5,Si,No,Si,Si,No,No,No,Si,Anual,31382,0,0,846393.6,2352521.6,Si,Disconforme
6268,Mujer,27,Si,0,3,68,Plan A,1773.2,Si,Si,39,No,Si,Si,Si,No,No,No,Si,Otro mas largo,46904,0,0,120577.6,3395355.6,No,
6269,Mujer,45,No,0,0,6,Ninguno,14398.8,Si,Si,13.5,No,No,No,No,No,No,No,Si,Mensual,38402,0,0,86392.8,295068.8,No,
6270,Hombre,40,No,0,0,29,Plan C,25750.4,No,No,,,,,,,,,,Anual,9932,0,0,746761.6,1022101.6,No,
6271,Hombre,64,Si,2,8,39,Ninguno,10654.8,Si,No,,,,,,,,,,Otro mas largo,13104,0,0,415537.2,929271.2,No,
6272,Hombre,78,No,0,0,20,Plan D,13265.2,Si,Si,13.5,No,No,No,No,Si,No,No,No,Otro mas largo,43862,0,5200,265304,1178008,No,
6273,Hombre,47,No,0,0,3,Plan E,21210.8,No,Si,43.5,No,No,Si,No,No,No,No,No,Mensual,25558,0,5200,63632.4,156738.4,Si,Mejor la Competencia
6274,Mujer,30,No,0,0,52,Ninguno,4872.4,No,Si,88.5,No,No,Si,No,No,Si,Si,Si,Mensual,30914,0,0,253364.8,1836088.8,No,
6275,Hombre,42,Si,0,4,71,Ninguno,3218.8,Si,Si,13.5,Si,Si,Si,Si,Si,Si,Si,Si,Otro mas largo,60450,0,0,228534.8,4682204.8,No,
6276,Mujer,57,No,0,0,41,Ninguno,19869.2,No,Si,7.5,Si,No,Si,Si,Si,Si,Si,Si,Anual,41522,0,0,814637.2,2541427.2,No,
6277,Hombre,52,Si,1,3,69,Ninguno,,,Si,16.5,Si,No,Si,Si,No,No,No,Si,Otro mas largo,20332,0,0,0,1445340,No,
6278,Mujer,44,Si,1,3,68,Ninguno,12968.8,Si,Si,45,No,Si,Si,No,No,No,No,Si,Otro mas largo,43888,0,0,881878.4,3870188.4,No,
6279,Hombre,68,No,0,0,20,Ninguno,11601.2,No,Si,31.5,Si,No,No,Si,No,No,No,Si,Anual,28080,0,0,232024,781092,No,
6280,Hombre,65,Si,0,2,7,Ninguno,18023.2,Si,Si,4.5,No,No,Si,No,Si,Si,Si,Si,Mensual,53014,0,0,126162.4,490604.4,Si,Otra
6281,Hombre,22,No,0,0,35,Plan C,21850.4,No,No,,,,,,,,,,Anual,10712,0,0,764764,1156844,No,
6282,Hombre,61,Si,0,8,17,Plan D,7638.8,No,No,,,,,,,,,,Anual,10348,0,0,129859.6,301329.6,No,
6284,Mujer,61,Si,0,4,7,Ninguno,16343.6,No,Si,36,No,No,No,No,No,No,No,No,Mensual,23010,0,0,114405.2,277399.2,No,
6285,Mujer,39,No,0,0,62,Plan B,19156.8,Si,Si,19.5,Si,Si,Si,Si,Si,Si,Si,Si,Anual,59826,0,0,1187721.6,4897115.6,No,
6287,Mujer,42,No,0,0,44,Plan B,6994,No,No,,,,,,,,,,Otro mas largo,10348,0,0,307736,759148,No,
6288,Hombre,41,No,0,0,39,Ninguno,,,Si,21,No,No,Si,Si,No,No,No,Si,Anual,18486,0,0,0,680758,No,
6289,Mujer,46,Si,0,1,12,Ninguno,,,Si,40.5,No,Si,No,No,No,No,No,Si,Mensual,15184,0,0,0,160732,Si,Mejor la Competencia
6290,Mujer,40,Si,1,4,72,Plan A,22895.6,Si,Si,21,No,Si,Si,Si,Si,Si,Si,Si,Otro mas largo,56784,0,0,1648483.2,5658437.2,No,
6291,Hombre,28,Si,1,9,47,Plan B,3385.2,No,No,,,,,,,,,,Anual,10426,0,0,159104.4,653910.4,No,
6292,Mujer,55,Si,0,8,15,Ninguno,12542.4,No,Si,19.5,Si,No,Si,No,Si,Si,Si,Si,Mensual,52910,0,0,188136,1056224,No,
6294,Hombre,76,Si,0,4,54,Plan B,,,Si,6,No,No,No,No,No,No,No,Si,Mensual,12974,0,0,0,709670,No,
6295,Mujer,32,Si,0,4,69,Ninguno,24372.4,No,Si,16.5,No,Si,No,No,Si,Si,Si,Si,Anual,49738,0,0,1681695.6,5188679.6,No,
